Time (s),Amplitude
0.34476423,807
0.34476423,0
0.34476423,786
0.36039209,0
0.36039209,784
0.37602258,0
0.39165473,818
0.39165473,64
0.40728140,742
0.42291403,186
0.42291403,768
0.43854070,195
0.45417047,754
0.45417047,203
0.46980357,765
0.46980357,210
0.48543119,747
0.50106049,224
0.50106049,718
0.51669168,221
0.53232288,720
0.53232288,226
0.54794955,693
0.56358004,226
0.56358004,695
0.57921004,240
0.59484029,674
0.60354614,240
0.61354733,704
0.62542510,245
0.63545060,667
0.64614272,256
0.65384007,655
0.66584301,260
0.66704059,656
0.68266559,272
0.68266559,642
0.70247626,275
0.70247626,641
0.72384000,289
0.73584199,621
0.74584246,293
0.75100636,688
0.75100636,298
0.76663136,659
0.78226185,297
0.78226185,688
0.79789138,313
0.81352472,661
0.81352472,319
0.83584237,652
0.84383988,325
0.85020185,671
0.86582804,347
0.86582804,637
0.88145542,384
0.88145542,620
0.89708853,400
0.91271496,598
0.91271496,412
0.92835855,571
0.94421172,432
0.94421172,549
0.95961928,449
0.97547746,506
0.97547746,471
0.99087834,462
0.99087834,496
1.00650835,453
1.02212477,461
1.02212477,401
1.03775477,422
1.05338526,334
1.05338526,463
1.06901383,325
1.08464527,413
1.08464527,288
1.10027313,398
1.11590362,309
1.11590362,425
1.13153315,339
1.13153315,445
1.14716458,291
1.16279125,432
1.16279125,287
1.17842126,431
1.19405031,275
1.19405031,464
1.21376801,304
1.22584176,544
1.23584127,377
1.24584174,630
1.25055528,219
1.25055528,603
1.26618075,155
1.28181052,559
1.28181052,58
1.29743958,539
1.31307125,28
1.31307125,666
1.32869959,2
1.34432840,927
1.34432840,29
1.36081481,944
1.37357926,33
1.38318324,955
1.38318324,27
1.39881110,947
1.39881110,27
1.41443944,982
1.43006873,25
1.44604874,982
1.44915414,19
1.46478534,1047
1.46478534,28
1.48041368,1330
1.48041368,18
1.49604416,1232
1.51167297,21
1.51167297,1216
1.52730513,25
1.54293108,1265
1.54293108,29
1.55856133,1311
1.57419109,32
1.57419109,1315
1.59289765,26
1.59289765,1344
1.60852432,33
1.62415314,1351
1.62415314,26
1.63979483,1423
1.65541506,22
1.65541506,1423
1.67104387,32
1.67104387,1457
1.68667316,26
1.70591521,1398
1.71641922,27
1.72341585,1397
1.73522019,33
1.74522066,1406
1.75125074,31
1.75125074,1411
1.76687932,36
1.78250694,1420
1.78250694,34
1.79813862,1414
1.81376696,32
1.81376696,1437
1.82939553,35
1.84502530,1456
1.84502530,36
1.86065507,1414
1.86065507,37
1.87628317,1437
1.89274430,45
1.90343714,1559
1.91606045,43
1.91606045,1577
1.93168926,42
1.93168926,1567
1.94731688,42
1.96294832,1529
1.96294832,43
1.97857857,1570
1.99420595,48
1.99420595,1597
2.00983453,50
2.00983453,1582
2.02546406,51
2.04578257,1589
2.05183768,48
2.05183768,1595
2.06746626,57
2.08309579,1434
2.08309579,69
2.09872651,1302
2.11435533,67
2.11435533,1264
2.12998438,66
2.12998438,1200
2.14561462,79
2.16126561,1232
2.16126561,80
2.17688775,1198
2.19252586,83
2.19252586,1168
2.21585941,74
2.22614145,1154
2.23583031,75
2.24381733,1161
2.25085402,46
2.25085402,1129
2.26648259,94
2.28330731,1085
2.29344392,80
2.29344392,1056
2.30906940,81
2.32469964,1038
2.32469964,82
2.34395981,1023
2.34446836,95
2.36009860,989
2.37573075,89
2.38348675,1007
2.39060068,83
2.39060068,1015
2.40623164,80
2.42258191,1010
2.43584061,82
2.44584131,1008
2.44889116,86
2.44889116,1053
2.46451735,96
2.48015022,1039
2.49577761,86
2.49577761,1014
2.51140809,95
2.51140809,1042
2.52703500,102
2.54266572,1030
2.54266572,99
2.55829549,1002
2.57392716,99
2.57392716,980
2.58955741,99
2.60583830,983
2.61557198,102
2.62383795,976
2.63201642,99
2.63201642,969
2.64764094,107
2.66327047,947
2.66327047,112
2.67890143,960
2.69606423,109
2.70314598,983
2.70516181,112
2.72509289,969
2.73584056,114
2.74383783,976
2.75584316,114
2.76587677,948
2.76587677,115
2.78150225,961
2.78150225,123
2.79713345,912
2.81276107,144
2.81276107,849
2.82839322,144
2.84402132,844
2.84402132,145
2.85965395,860
2.87528062,163
2.87528062,880
2.89090991,178
2.89090991,848
2.90654397,235
2.92217159,910
2.92217159,253
2.93781376,915
2.95436954,256
2.96586370,912
2.97588229,280
2.98194146,846
2.98194146,305
2.99756646,821
3.01319599,304
3.01319599,784
3.02882576,309
3.04445696,718
3.04445696,320
3.06375146,730
3.07084775,323
3.07084775,722
3.08647633,320
3.10210586,720
3.10210586,323
3.11773753,672
3.13336825,310
3.13336825,675
3.14899659,304
3.16462564,659
3.16462564,306
3.18025422,674
3.19588399,308
3.19588399,656
3.21524835,318
3.21524835,673
3.23584056,319
3.24584126,698
3.25584006,334
3.26384568,683
3.26536250,329
3.28098750,691
3.28098750,341
3.29661870,669
3.31225061,333
3.31225061,653
3.32787824,338
3.34350729,627
3.34350729,336
3.35913920,607
3.37476778,336
3.37476778,634
3.39039898,340
3.39039898,593
3.40602756,370
3.42366219,577
3.43275094,394
3.43275094,549
3.44837809,423
3.44837809,528
3.46400857,482
3.48583937,539
3.49583936,534
3.49794459,464
3.51357079,626
3.51357079,406
3.52922297,690
3.52922297,400
3.54485083,720
3.56083512,429
3.57627606,767
3.57627606,390
3.59362030,752
3.59362030,336
3.60926318,720
3.60926318,297
3.62489247,798
3.64090943,265
3.65635133,806
3.65635133,295
3.67213178,836
3.67213178,363
3.68739820,853
3.70414424,350
3.71585679,898
3.72583890,357
3.73584032,929
3.74411345,328
3.74845243,943
3.76410031,230
3.76410031,971
3.78011632,231
3.79561567,988
3.79561567,219
3.81098914,1040
3.81098914,213
3.82662082,1076
3.84271479,177
3.84271479,1122
3.85787916,159
3.87349057,1108
3.87349057,64
3.88967538,1154
3.90474939,70
3.90474939,1167
3.92037559,43
3.93600583,1199
3.93600583,39
3.95163584,1210
3.95163584,33
3.96726537,1206
3.98289776,29
3.98289776,1200
3.99852490,28
4.01506019,1216
4.01506019,29
4.03397441,1230
4.04597592,21
4.04751277,1265
4.06314135,24
4.06314135,1247
4.07414937,16
4.09033060,1271
4.10595870,19
4.10595870,1294
4.12158871,29
4.12158871,1297
4.13721824,25
4.15285134,1361
4.15285134,26
4.16847920,1375
4.18410921,27
4.18410921,1367
4.20476985,16
4.21566653,1375
4.22566533,27
4.23406386,1406
4.24506497,22
4.24910069,1406
4.26472855,29
4.26472855,1414
4.28035879,25
4.29598665,1447
4.29598665,32
4.31161857,1382
4.31161857,30
4.32724547,1456
4.34400630,34
4.34451222,1495
4.36013961,33
4.37576938,1455
4.37576938,33
4.39140296,1499
4.39140296,28
4.40703011,1392
4.42528868,32
4.43337297,1439
4.44582438,25
4.44889760,1438
4.46452451,43
4.46452451,1449
4.48015475,37
4.49578547,1441
4.49578547,33
4.51141453,1443
4.51141453,37
4.52704358,1424
4.54372597,43
4.55416441,1423
4.56412077,48
4.56412077,1440
4.57974672,49
4.57974672,1442
4.60583782,51
4.61584091,1426
4.62583828,48
4.63086700,1419
4.63086700,51
4.64650440,1463
4.66214323,50
4.66214323,1570
4.67776418,50
4.69362950,1535
4.69362950,47
4.71421742,1433
4.72634864,52
4.73585415,1424
4.74585366,60
4.75385785,1424
4.76427460,64
4.76427460,1411
4.78016186,81
4.79579568,1385
4.79579568,87
4.81118083,1325
4.81118083,69
4.82680178,1489
4.84282947,62
4.84282947,1514
4.85806680,31
4.87368131,1535
4.87368131,98
4.88932610,1468
4.90533042,96
4.90533042,1430
4.92095637,92
4.93626714,1450
4.93626714,80
4.95184040,1423
4.95184040,97
4.96748042,1348
4.98309040,102
4.99379182,1286
4.99886131,99
5.01449347,1232
5.01449347,106
5.03012204,1258
5.04575086,112
5.04575086,1238
5.06333566,113
5.07533050,1260
5.07994318,118
5.09557128,1225
5.09557128,121
5.11119938,1205
5.11119938,132
5.12682962,1219
5.14245939,140
5.14245939,1198
5.15808797,144
5.17371678,1150
5.17371678,149
5.18934774,1095
5.20537496,162
5.21583843,1114
5.22583771,156
5.23383522,995
5.24584341,160
5.24785876,951
5.26348424,162
5.26348424,944
5.27911425,164
5.29474401,934
5.29474401,167
5.31037331,934
5.31037331,177
5.32600355,944
5.34163547,162
5.34163547,897
5.35726357,153
5.37289429,897
5.37289429,161
5.38852596,898
5.40415359,164
5.40415359,907
5.41978312,172
5.43541288,848
5.43541288,194
5.45104194,878
5.45104194,197
5.46667194,843
5.48230410,227
5.48230410,801
5.49793124,247
5.51356077,834
5.51356077,257
5.52919245,916
5.52919245,257
5.54482031,907
5.56045127,266
5.56045127,886
5.57607913,276
5.59308600,835
5.60522747,278
5.61280322,826
5.61280322,290
5.62842989,838
5.64405990,309
5.64405990,831
5.65969062,328
5.67532134,808
5.67532134,334
5.69094682,789
5.69094682,342
5.71536160,757
5.72536373,367
5.73365927,944
5.74628496,374
5.75532889,709
5.76336074,393
5.76336074,704
5.77898598,390
5.79461932,685
5.80473256,400
5.80473256,647
5.82036090,414
5.82036090,624
5.83598924,435
5.85162067,625
5.85162067,454
5.86725044,624
5.88287926,450
5.88287926,619
5.89850998,466
5.91413927,640
5.91413927,487
5.93077397,631
5.93077397,494
5.94694209,591
5.96256948,499
5.96256948,527
5.97821188,511
5.99407744,527
