Time (s),Red,IR
0.455,0,0
0.464,12411,17857
0.474,12606,18092
0.484,12762,18281
0.492,12935,18520
0.501,13120,18776
0.512,13300,19025
0.521,13511,19322
0.534,13783,19714
0.543,14155,20232
0.554,14599,20853
0.561,15206,21671
0.572,15845,22476
0.582,16370,23108
0.592,16754,23549
0.605,17013,23845
0.615,17221,24073
0.624,17403,24281
0.632,17533,24419
0.643,17626,24506
0.652,18101,24324
0.665,22064,27442
0.674,22641,27896
0.686,22742,27918
0.696,22698,27852
0.703,22715,27855
0.714,22716,27837
0.724,22710,27815
0.734,22728,27830
0.745,22780,27884
0.755,22865,27978
0.766,22977,28099
0.804,12935,18520
0.831,13511,19322
0.832,13511,19322
0.834,13511,19322
0.843,24859,29872
0.855,25134,30098
0.864,25379,30310
0.874,25592,30478
0.884,25751,30601
0.894,25870,30695
0.906,25967,30767
0.916,26054,30834
0.927,26130,30894
0.935,26198,30944
0.944,26239,30965
0.955,26272,30977
0.964,26293,30984
0.977,26329,31006
0.988,26372,31023
0.996,26415,31051
1.009,26452,31072
1.018,26496,31105
1.028,26533,31123
1.036,26578,31156
1.046,26616,31177
1.056,26653,31209
1.066,26682,31220
1.078,26717,31245
1.088,26747,31265
1.099,26781,31291
1.108,26806,31298
1.119,26834,31319
1.127,26851,31325
1.137,26880,31342
1.147,26913,31357
1.157,26939,31375
1.169,26958,31382
1.178,26979,31391
1.186,26999,31398
1.198,27014,31409
1.208,27025,31407
1.219,27037,31416
1.227,27052,31419
1.236,27060,31432
1.248,27073,31428
1.257,27078,31433
1.270,27084,31431
1.279,27094,31434
1.290,27112,31437
1.300,27127,31442
1.310,27144,31443
1.318,27158,31449
1.328,27174,31457
1.338,27191,31459
1.348,27194,31462
1.361,27208,31462
1.370,27205,31466
1.381,27199,31450
1.391,27169,31428
1.401,27127,31388
1.409,27063,31356
1.418,27009,31315
1.428,26941,31275
1.438,26895,31244
1.450,26842,31219
1.461,26808,31198
1.469,26776,31183
1.481,26757,31174
1.492,26737,31168
1.501,26732,31162
1.509,26729,31156
1.519,26726,31151
1.530,26732,31154
1.542,26739,31153
1.552,26744,31155
1.561,26759,31162
1.572,26783,31170
1.581,26800,31178
1.592,26820,31188
1.599,26841,31192
1.609,26869,31208
1.619,26892,31221
1.629,26923,31237
1.642,26944,31245
1.652,26967,31260
1.663,26980,31260
1.673,26995,31259
1.683,27004,31256
1.691,27013,31260
1.701,27022,31255
1.711,27026,31256
1.721,27030,31250
1.733,27046,31259
1.743,27055,31256
1.750,27068,31265
1.761,27081,31265
1.771,27102,31280
1.781,27118,31285
1.793,27145,31303
1.804,27175,31311
1.814,27208,31339
1.821,27236,31349
1.831,27270,31372
1.841,27301,31388
1.851,27340,31414
1.863,27365,31425
1.873,27405,31452
1.884,27425,31464
1.891,27453,31478
1.901,27466,31485
1.911,27494,31501
1.921,27508,31508
1.934,27538,31525
1.944,27550,31533
1.954,27574,31545
1.962,27583,31552
1.972,27608,31567
1.982,27625,31577
1.992,27642,31580
2.004,27653,31589
2.015,27668,31602
2.026,27676,31600
2.032,27684,31605
2.042,27686,31602
2.052,27697,31612
2.063,27703,31614
2.075,27714,31624
2.085,27723,31618
2.096,27730,31627
2.103,27736,31624
2.113,27745,31627
2.124,27742,31627
2.133,27740,31631
2.146,27734,31610
2.155,27709,31598
2.166,27664,31564
2.176,27608,31523
2.187,27532,31478
2.196,27470,31439
2.203,27405,31402
2.215,27351,31371
2.223,27287,31333
2.237,27246,31310
2.247,27199,31278
2.257,27176,31263
2.267,27146,31239
2.277,27137,31237
2.285,27122,31222
2.295,27123,31213
2.304,27112,31203
2.315,27121,31199
2.328,27118,31187
2.337,27128,31182
2.345,27133,31175
2.354,27140,31175
2.365,27138,31159
2.376,27149,31159
2.386,27152,31148
2.397,27164,31142
2.407,27162,31126
2.418,27162,31119
2.425,27151,31093
2.435,27144,31082
2.445,27128,31061
2.455,27116,31046
2.467,27096,31021
2.477,27083,31011
2.487,27063,30986
2.496,27051,30976
2.506,27030,30956
2.516,27022,30947
2.528,27003,30932
2.538,27005,30929
2.548,26991,30917
2.558,26992,30914
2.568,26971,30899
2.578,26976,30900
2.586,26952,30886
2.596,26957,30880
2.607,26934,30866
2.616,26931,30861
2.629,26909,30842
2.640,26916,30839
2.647,26900,30829
2.659,26897,30824
2.671,26884,30810
2.677,26881,30804
2.688,26861,30785
2.697,26851,30768
2.707,26831,30743
2.720,26809,30714
2.730,26773,30693
2.738,26755,30661
2.747,26717,30642
2.757,26691,30620
2.768,26647,30602
2.781,26629,30597
2.791,26603,30588
2.800,26589,30577
2.812,26566,30568
2.819,26554,30547
2.823,26525,30523
2.839,26511,30501
2.848,26491,30500
2.861,26483,30481
2.870,26471,30474
2.880,26467,30464
2.888,26462,30460
2.896,26458,30454
2.896,26451,30446
2.913,26442,30435
2.928,26438,30436
2.928,26417,30407
2.943,26389,30392
2.959,26345,30359
2.959,26306,30336
2.975,26254,30299
2.975,26217,30281
2.990,26177,30258
3.006,26157,30253
3.022,26136,30239
3.022,26132,30244
3.037,26128,30240
3.037,26146,30257
3.053,26147,30256
3.069,26169,30276
3.069,26177,30285
3.084,26206,30309
3.100,26212,30313
3.110,26238,30343
3.116,26251,30349
3.125,26275,30381
3.141,26294,30396
3.148,26317,30426
3.158,26338,30442
3.165,26362,30466
3.180,26381,30478
3.191,26396,30507
3.201,26409,30511
3.210,26418,30530
3.223,26420,30536
3.228,26428,30552
3.244,26430,30553
3.244,26436,30570
3.261,26432,30579
3.261,26440,30590
3.278,26436,30593
3.289,26446,30604
3.304,26442,30606
3.314,26459,30625
3.324,26458,30629
3.332,26477,30643
3.342,26481,30647
3.352,26497,30656
3.356,26504,30662
3.372,26522,30679
3.380,26529,30687
3.393,26553,30698
3.404,26558,30702
3.412,26572,30716
3.425,26579,30717
3.428,26595,30728
3.442,26599,30731
3.452,26612,30739
3.461,26614,30738
3.475,26629,30749
3.484,26623,30744
3.492,26631,30747
3.500,26637,30752
3.509,26648,30757
3.523,26651,30752
3.532,26657,30763
3.542,26654,30759
3.556,26660,30761
3.566,26657,30760
3.574,26667,30762
3.582,26664,30764
3.589,26675,30764
3.598,26675,30764
3.616,26680,30768
3.623,26682,30764
3.623,26688,30772
3.641,26691,30771
3.649,26698,30773
3.657,26697,30772
3.673,26706,30777
3.684,26711,30777
3.692,26717,30782
3.707,26717,30782
3.708,26723,30783
3.722,26713,30776
3.734,26701,30767
3.746,26668,30747
3.756,26620,30718
3.767,26565,30681
3.767,26506,30653
3.782,26450,30619
3.782,26397,30592
3.798,26348,30565
3.814,26311,30548
3.814,26277,30527
3.829,26257,30521
3.846,26242,30508
3.856,26234,30507
3.856,26232,30501
3.873,26237,30503
3.881,26243,30502
3.897,26248,30508
3.905,26257,30511
3.905,26264,30518
3.924,26273,30519
3.932,26287,30530
3.947,26293,30527
3.955,26307,30538
3.955,26318,30542
3.971,26330,30542
3.987,26333,30542
3.987,26335,30542
4.002,26321,30534
4.014,26322,30535
4.022,26311,30528
4.039,26309,30520
4.039,26297,30516
4.054,26296,30512
4.054,26282,30511
4.070,26278,30507
4.085,26271,30503
4.085,26273,30501
4.101,26266,30497
4.117,26270,30496
4.117,26265,30499
4.135,26278,30497
4.147,26271,30504
4.155,26284,30501
4.155,26282,30505
4.171,26296,30507
4.188,26295,30512
4.188,26305,30509
4.205,26310,30510
4.213,26317,30519
4.222,26325,30522
4.237,26333,30525
4.237,26342,30529
4.260,26345,30529
4.271,26347,30534
4.278,26355,30531
4.289,26364,30536
4.293,26365,30537
4.310,26373,30544
4.318,26375,30542
4.331,26389,30546
4.338,26389,30541
4.347,26396,30549
4.356,26398,30548
4.356,26403,30550
4.380,26408,30552
4.388,26411,30556
4.396,26412,30556
4.405,26419,30557
4.413,26421,30561
4.429,26429,30562
4.429,26430,30562
4.445,26441,30567
4.461,26439,30568
4.461,26450,30573
4.476,26452,30571
4.476,26467,30579
4.492,26466,30571
4.508,26475,30584
4.508,26478,30580
4.523,26483,30583
4.539,26472,30574
4.539,26462,30567
4.554,26426,30544
4.570,26384,30518
4.570,26325,30484
4.586,26273,30455
4.601,26217,30419
4.601,26169,30395
4.617,26126,30372
4.617,26099,30357
4.633,26070,30342
4.648,26064,30339
4.648,26054,30336
4.664,26058,30341
4.680,26057,30337
4.694,26067,30343
4.694,26069,30346
4.706,26081,30354
4.722,26090,30355
4.732,26102,30362
4.741,26108,30367
4.749,26123,30373
4.765,26133,30379
4.773,26149,30384
4.782,26157,30390
4.788,26161,30392
4.796,26162,30383
4.805,26163,30385
4.823,26157,30383
4.823,26154,30382
4.840,26145,30375
4.849,26141,30371
4.863,26136,30365
4.872,26129,30366
4.880,26124,30361
4.888,26117,30361
4.903,26119,30354
4.909,26116,30357
4.923,26123,30357
4.931,26130,30364
4.940,26132,30365
4.956,26138,30371
4.961,26146,30371
4.974,26154,30374
4.982,26161,30378
4.994,26175,30386
5.002,26178,30389
5.014,26188,30392
5.021,26193,30393
5.021,26212,30402
5.040,26212,30402
5.055,26224,30409
5.064,26223,30411
5.071,26234,30414
5.084,26236,30416
5.088,26246,30415
5.104,26248,30423
5.117,26263,30425
5.126,26260,30424
5.132,26275,30430
5.138,26275,30430
5.154,26285,30433
5.154,26288,30433
5.170,26303,30439
5.185,26300,30441
5.198,26314,30444
5.204,26310,30442
5.212,26320,30450
5.221,26325,30452
5.221,26337,30459
5.241,26337,30458
5.254,26346,30460
